Time,bit-x,bitfinex,bitstamp,cex.io,coinbase,exmo,gemini,itbit,kraken,MinerRevenue,USDT_marketcap,USDT_price,BTC_marketcap,BTC_price,USDC_marketcap,USDC_price,USDT_supply,forward_1_day_bitstamp_return,last_1_days_USDT_supply_increase,1_day_MinerRevenue,forward_7_day_bitstamp_return,last_7_days_USDT_supply_increase,7_day_MinerRevenue,forward_14_day_bitstamp_return,last_14_days_USDT_supply_increase,14_day_MinerRevenue,forward_21_day_bitstamp_return,last_21_days_USDT_supply_increase,21_day_MinerRevenue,forward_30_day_bitstamp_return,last_30_days_USDT_supply_increase,30_day_MinerRevenue,forward_45_day_bitstamp_return,last_45_days_USDT_supply_increase,45_day_MinerRevenue,forward_60_day_bitstamp_return,last_60_days_USDT_supply_increase,60_day_MinerRevenue,forward_180_day_bitstamp_return,last_180_days_USDT_supply_increase,180_day_MinerRevenue,forward_365_day_bitstamp_return,last_365_days_USDT_supply_increase,365_day_MinerRevenue,mtgox,coinbase/bitfinex,bitfinex-coinbase,google trends,google trends isPartial
2010-10-16,,,,,,,,,,1584.0,,,,,,,,,,1584.0,,,7539.535000130798,,,11107.535466230598,,,15031.6571323184,,,20707.6679323244,,,29854.684708583594,,,39468.9083086936,,,,,,,0.101,,,,
2010-10-17,,,,,,,,,,1529.0,,,,,,,,,,1529.0,,,7988.535000130798,,,12264.535000255599,,,15939.6571323184,,,21594.6679323244,,,30885.684708583594,,,40525.2991086936,,,,,,,0.102,,,0.0,False
2010-10-18,,,,,,,,,,1305.002,,,,,,,,,,1305.002,,,8327.536999999998,,,13092.5370001962,,,16557.6579323184,,,22188.6591323244,,,31686.686708583595,,,41350.8011086936,,,,,,,0.1024,,,,
2010-10-19,,,,,,,,,,1300.0,,,,,,,,,,1300.0,,,8649.536999999998,,,14014.5370001962,,,16945.5715323184,,,22843.6591323244,,,32443.6867085836,,,41968.3011086936,,,,,,,0.097,,,,
2010-10-20,,,,,,,,,,1560.0,,,,,,,,,,1560.0,,,9319.501999999999,,,15055.5370001308,,,18007.5715323184,,,23788.6591323244,,,33508.6861085836,,,42922.8011086936,,,,,,,0.099,,,,
2010-10-21,,,,,,,,,,930.000776615,,,,,,,,,,930.0007766150002,,,9214.502776614998,,,15499.5377767458,,,18499.572308933402,,,24196.6599089334,,,33952.6868851926,,,43110.8018853086,,,,,,,0.107,,,,
2010-10-22,,,,,,,,,,858.0,,,,,,,,,,858.0000000000002,,,9066.002776614998,,,15811.5377767458,,,18889.538708933404,,,24532.6599089334,,,34276.6868851926,,,43216.3018853086,,,,,,,0.1025,,,,
2010-10-23,,,,,,,,,,1325.5055,,,,,,,,,,1325.5055000000002,,,8807.508276614997,,,16347.0432767458,,,19915.043742845603,,,25150.1654089334,,,35089.19238516859,,,43782.251385308606,,,,,,,0.1055,,,,
2010-10-24,,,,,,,,,,1345.5,,,,,,,,,,1345.5000000000002,,,8624.008276614997,,,16612.5432767458,,,20888.5432768706,,,25805.6654089334,,,36023.68578516259,,,44357.751385308606,,,,,,,0.11501,,,0.0,False
2010-10-25,,,,,,,,,,1845.0,,,,,,,,,,1845.0,,,9164.006276614997,,,17491.543276615,,,22256.5432768112,,,27029.6654089334,,,37319.68578515659,,,45194.751385308606,,,,,,,0.132,,,,
2010-10-26,,,,,,,,,,1992.0,,,,,,,,,,1992.0,,,9856.006276614997,,,18505.543276615,,,23870.5432768112,,,28400.6654089334,,,38819.68578515659,,,46588.251385308606,,,,,,,0.1503,,,,
2010-10-27,,,,,,,,,,2080.5,,,,,,,,,,2080.5,,,10376.506276614997,,,19696.008276615,,,25432.0432767458,,,29794.164208933402,,,40369.17678515659,,,48073.751385231604,,,,,,,0.1877,,,,
